                  20101229 伟星股份 (002003)
 时间	    价格	    成交	笔数	
09:30	   25.66	       1	0	B	
09:31	   25.67	       6	0	S	
09:32	   25.67	       4	0	B	
09:32	   25.66	       8	0	S	
09:33	   25.66	       2	0	B	
09:33	   25.60	      21	0	S	
09:33	   25.60	      12	0	B	
09:34	   25.56	      20	0	S	
09:35	   25.56	       6	0	S	
09:35	   25.50	       4	0	S	
09:36	   25.55	       3	0	B	
09:36	   25.40	      20	0	S	
09:37	   25.41	       5	0	S	
09:37	   25.41	      21	0	S	
09:38	   25.42	       4	0	S	
09:39	   25.45	       2	0	S	
09:39	   25.56	       8	0	B	
09:41	   25.46	       4	0	S	
09:41	   25.46	       2	0	B	
09:43	   25.55	       1	0	B	
09:43	   25.55	       1	0	S	
09:44	   25.55	       5	0	S	
09:44	   25.55	       1	0	B	
09:44	   25.55	       3	0	B	
09:44	   25.56	       8	0	B	
09:46	   25.56	      16	0	B	
09:47	   25.55	       1	0	B	
09:48	   25.53	      50	0	S	
09:49	   25.50	      23	0	S	
09:50	   25.48	      13	0	B	
09:50	   25.47	       8	0	S	
09:50	   25.47	      14	0	S	
09:51	   25.47	      37	0	S	
09:51	   25.46	       1	0	S	
09:52	   25.46	       2	0	S	
09:52	   25.46	      10	0	B	
09:53	   25.45	       1	0	S	
09:53	   25.44	       5	0	B	
09:53	   25.43	      10	0	S	
09:54	   25.42	       1	0	S	
09:54	   25.43	      13	0	B	
09:56	   25.45	       1	0	B	
09:56	   25.47	       7	0	B	
09:56	   25.43	       1	0	S	
09:56	   25.43	       1	0	B	
09:57	   25.46	       8	0	B	
09:57	   25.46	       4	0	B	
09:57	   25.46	       8	0	B	
09:59	   25.43	       4	0	S	
10:00	   25.42	      18	0	S	
10:00	   25.42	       5	0	S	
10:01	   25.42	      12	0	B	
10:01	   25.42	       7	0	B	
10:02	   25.42	       4	0	B	
10:02	   25.41	       3	0	S	
10:03	   25.42	      12	0	S	
10:03	   25.42	       4	0	B	
10:03	   25.45	       4	0	B	
10:06	   25.45	       5	0	B	
10:06	   25.46	       2	0	B	
10:06	   25.45	       1	0	S	
10:06	   25.46	      15	0	B	
10:07	   25.47	       9	0	B	
10:07	   25.47	       4	0	B	
10:07	   25.47	       3	0	B	
10:08	   25.47	      17	0	S	
10:08	   25.47	       8	0	B	
10:09	   25.47	      12	0	B	
10:09	   25.47	       1	0	B	
10:10	   25.50	       2	0	B	
10:10	   25.49	       3	0	B	
10:11	   25.54	       7	0	B	
10:11	   25.55	      10	0	B	
10:11	   25.55	      25	0	B	
10:12	   25.56	     120	0	B	
10:12	   25.56	       1	0	S	
10:12	   25.56	       1	0	S	
10:12	   25.57	      10	0	B	
10:12	   25.59	       4	0	B	
10:12	   25.59	      22	0	S	
10:13	   25.59	      11	0	S	
10:13	   25.51	       4	0	S	
10:13	   25.51	       2	0	S	
10:14	   25.56	       4	0	B	
10:16	   25.50	      19	0	S	
10:18	   25.55	       5	0	B	
10:19	   25.55	      14	0	S	
10:20	   25.55	       6	0	S	
10:21	   25.51	       2	0	S	
10:22	   25.52	       3	0	S	
10:22	   25.52	       9	0	B	
10:22	   25.52	       5	0	S	
10:23	   25.55	       4	0	B	
10:23	   25.56	       4	0	B	
10:23	   25.51	       1	0	S	
10:24	   25.56	       4	0	B	
10:24	   25.56	       4	0	B	
10:24	   25.58	      15	0	B	
10:25	   25.52	       2	0	S	
10:26	   25.58	       2	0	B	
10:26	   25.58	       3	0	B	
10:27	   25.58	       5	0	B	
10:28	   25.58	       1	0	S	
10:29	   25.52	       9	0	S	
10:29	   25.51	       4	0	S	
10:29	   25.50	       4	0	S	
10:29	   25.52	       3	0	B	
10:33	   25.53	       4	0	S	
10:34	   25.53	       1	0	S	
10:34	   25.52	       4	0	S	
10:36	   25.53	       8	0	B	
10:37	   25.52	       4	0	S	
10:38	   25.52	       2	0	S	
10:39	   25.52	       2	0	B	
10:40	   25.51	       4	0	S	
10:41	   25.51	       4	0	S	
10:42	   25.53	       4	0	B	
10:43	   25.53	       9	0	S	
10:44	   25.51	       4	0	S	
10:47	   25.56	       1	0	B	
10:48	   25.55	       8	0	B	
10:49	   25.55	       4	0	B	
10:49	   25.54	       1	0	S	
10:49	   25.54	       2	0	S	
10:52	   25.55	       3	0	B	
10:54	   25.53	       2	0	S	
10:54	   25.53	      13	0	S	
10:55	   25.52	       4	0	S	
10:56	   25.52	      10	0	S	
10:56	   25.52	       6	0	S	
10:57	   25.52	       1	0	B	
10:57	   25.51	       9	0	S	
10:57	   25.51	       2	0	S	
10:57	   25.51	       1	0	S	
10:58	   25.50	      16	0	S	
10:58	   25.50	       5	0	S	
10:59	   25.50	       7	0	S	
11:00	   25.47	       3	0	S	
11:01	   25.50	      28	0	B	
11:01	   25.50	       1	0	B	
11:01	   25.47	       2	0	S	
11:02	   25.45	       2	0	S	
11:03	   25.45	       1	0	S	
11:05	   25.47	      15	0	B	
11:07	   25.49	       5	0	S	
11:10	   25.49	       7	0	S	
11:10	   25.48	       6	0	S	
11:11	   25.49	       8	0	B	
11:11	   25.49	       4	0	B	
11:12	   25.50	      38	0	B	
11:12	   25.50	       5	0	S	
11:13	   25.50	      10	0	S	
11:13	   25.53	       5	0	B	
11:13	   25.56	      46	0	B	
11:14	   25.58	       8	0	B	
11:14	   25.58	       7	0	B	
11:14	   25.58	       3	0	S	
11:14	   25.59	      21	0	B	
11:15	   25.60	      55	0	B	
11:16	   25.62	       1	0	S	
11:17	   25.60	      45	0	S	
11:17	   25.60	       1	0	B	
11:18	   25.56	       4	0	S	
11:18	   25.56	       5	0	B	
11:18	   25.56	       5	0	B	
11:19	   25.56	       1	0	B	
11:19	   25.56	       4	0	S	
11:20	   25.52	       3	0	S	
11:20	   25.50	       4	0	S	
11:21	   25.50	       5	0	S	
11:21	   25.50	       4	0	S	
11:22	   25.50	       4	0	S	
11:22	   25.56	       4	0	S	
11:24	   25.59	       8	0	B	
11:24	   25.59	       1	0	S	
11:24	   25.59	      11	0	S	
11:26	   25.56	       6	0	B	
11:27	   25.56	      10	0	B	
11:28	   25.56	       3	0	B	
11:28	   25.60	      16	0	B	
11:29	   25.62	       1	0	B	
13:00	   25.63	       3	0	B	
13:00	   25.65	       8	0	B	
13:00	   25.65	      13	0	B	
13:01	   25.65	       9	0	B	
13:02	   25.66	       9	0	B	
13:02	   25.66	       7	0	S	
13:03	   25.63	       3	0	S	
13:04	   25.63	       6	0	B	
13:04	   25.63	      14	0	S	
13:04	   25.63	       2	0	B	
13:05	   25.63	       5	0	B	
13:05	   25.60	       1	0	S	
13:05	   25.60	      17	0	S	
13:06	   25.57	      37	0	S	
13:06	   25.60	      20	0	B	
13:07	   25.60	       2	0	B	
13:08	   25.57	       2	0	S	
13:09	   25.60	      14	0	B	
13:11	   25.60	      10	0	S	
13:11	   25.60	      67	0	S	
13:12	   25.60	      23	0	B	
13:12	   25.60	       7	0	S	
