                  20050525 伟星股份 (002003)
 时间	    价格	    成交	笔数	
09:41	    6.68	       1	0	B	
09:44	    6.67	       3	0	B	
09:45	    6.60	      17	0	S	
09:49	    6.60	      40	0	S	
09:50	    6.60	       5	0	S	
09:50	    6.60	       6	0	B	
09:51	    6.60	      25	0	S	
09:51	    6.60	       1	0	S	
09:52	    6.60	       3	0	B	
09:54	    6.60	      25	0	B	
09:54	    6.60	       5	0	S	
09:58	    6.60	       7	0	S	
09:59	    6.60	      11	0	S	
10:00	    6.60	       2	0	S	
10:00	    6.60	       3	0	S	
10:00	    6.58	      40	0	S	
10:02	    6.58	       7	0	S	
10:02	    6.58	       1	0	B	
10:03	    6.58	      10	0	B	
10:03	    6.57	       7	0	S	
10:06	    6.55	       3	0	B	
10:07	    6.57	       2	0	B	
10:12	    6.57	       7	0	S	
10:21	    6.57	      13	0	S	
10:22	    6.57	       8	0	S	
10:24	    6.58	       3	0	S	
10:24	    6.64	       2	0	B	
10:26	    6.64	       3	0	B	
10:27	    6.65	       6	0	B	
10:28	    6.65	      23	0	B	
10:29	    6.67	      10	0	B	
10:29	    6.68	      16	0	B	
10:33	    6.65	       1	0	S	
10:33	    6.66	      10	0	S	
10:34	    6.66	       3	0	S	
10:34	    6.65	       4	0	S	
10:34	    6.60	      80	0	S	
10:36	    6.60	       6	0	B	
10:36	    6.60	      14	0	B	
10:38	    6.61	       2	0	S	
10:39	    6.61	       3	0	B	
10:40	    6.60	       3	0	S	
10:40	    6.61	       5	0	B	
10:42	    6.61	       3	0	S	
10:46	    6.62	       6	0	S	
10:46	    6.67	      30	0	B	
10:50	    6.62	       1	0	S	
10:57	    6.67	       5	0	B	
11:04	    6.67	      22	0	B	
11:06	    6.68	      30	0	B	
11:09	    6.67	      22	0	B	
11:10	    6.67	      10	0	B	
11:10	    6.67	       1	0	B	
11:17	    6.66	       1	0	S	
11:18	    6.66	       1	0	B	
11:20	    6.67	       3	0	B	
11:21	    6.67	      10	0	S	
11:22	    6.70	      76	0	B	
11:23	    6.72	      34	0	B	
11:25	    6.74	      10	0	B	
11:27	    6.74	       5	0	B	
11:27	    6.74	       5	0	B	
11:27	    6.75	      10	0	B	
11:28	    6.75	      34	0	B	
11:28	    6.75	       6	0	B	
11:28	    6.75	      40	0	B	
11:28	    6.75	       4	0	B	
11:28	    6.75	       3	0	B	
11:29	    6.75	       7	0	S	
13:00	    6.74	       1	0	S	
13:00	    6.75	      11	0	B	
13:00	    6.75	      32	0	S	
13:00	    6.78	     171	0	B	
13:01	    6.78	      10	0	S	
13:01	    6.78	       5	0	S	
13:02	    6.78	      20	0	S	
13:02	    6.78	      15	0	S	
13:02	    6.78	      15	0	S	
13:03	    6.78	      11	0	S	
13:03	    6.78	       2	0	B	
13:04	    6.76	       4	0	S	
13:05	    6.74	       9	0	S	
13:13	    6.75	       7	0	B	
13:13	    6.68	      26	0	S	
13:14	    6.68	       2	0	B	
13:15	    6.68	       1	0	B	
13:15	    6.68	       1	0	B	
13:15	    6.78	      30	0	B	
13:17	    6.80	      50	0	B	
13:17	    6.80	      72	0	B	
13:18	    6.81	       2	0	S	
13:18	    6.88	      42	0	B	
13:18	    6.86	      52	0	S	
13:18	    6.85	       5	0	S	
13:19	    6.89	       7	0	B	
13:19	    6.89	      18	0	B	
13:19	    6.89	      25	0	B	
13:19	    6.89	      10	0	S	
13:19	    6.90	      30	0	B	
13:20	    6.89	       5	0	B	
13:20	    6.89	       5	0	B	
13:20	    6.88	       5	0	S	
13:21	    6.88	      15	0	S	
13:21	    6.88	       5	0	B	
13:21	    6.87	       5	0	S	
13:21	    6.86	      20	0	S	
13:22	    6.87	      10	0	B	
13:22	    6.86	       3	0	B	
13:23	    6.80	      22	0	S	
13:23	    6.80	       5	0	B	
13:23	    6.80	      14	0	B	
13:23	    6.80	      15	0	B	
13:23	    6.80	       4	0	B	
13:24	    6.85	       2	0	B	
13:25	    6.81	       5	0	S	
13:25	    6.86	      23	0	B	
13:26	    6.85	       2	0	S	
13:26	    6.81	       8	0	S	
13:27	    6.85	      40	0	B	
13:28	    6.83	       2	0	B	
13:29	    6.83	       1	0	S	
