                  20070618 伟星股份 (002003)
 时间	    价格	    成交	笔数	
09:30	   33.20	     592	0	S	
09:30	   32.90	     161	0	S	
09:30	   33.00	     129	0	B	
09:30	   32.70	     675	0	S	
09:30	   33.00	      13	0	B	
09:30	   33.00	       5	0	B	
09:30	   32.32	      21	0	S	
09:30	   32.80	      11	0	B	
09:30	   32.80	       3	0	B	
09:30	   32.80	      84	0	B	
09:31	   32.80	      20	0	B	
09:31	   32.80	       4	0	B	
09:31	   32.33	       1	0	S	
09:31	   32.33	       5	0	S	
09:31	   32.35	      10	0	S	
09:31	   32.80	       5	0	B	
09:31	   33.00	      97	0	B	
09:31	   32.90	      58	0	S	
09:31	   32.90	       4	0	S	
09:31	   32.80	      14	0	S	
09:32	   33.00	      17	0	B	
09:32	   33.00	       5	0	B	
09:32	   33.00	      45	0	B	
09:32	   33.00	      12	0	S	
09:32	   33.00	     105	0	S	
09:32	   33.10	      12	0	S	
09:32	   33.00	      20	0	S	
09:32	   33.00	       8	0	S	
09:32	   33.28	       3	0	B	
09:33	   33.00	      26	0	S	
09:33	   33.00	      40	0	S	
09:33	   33.00	      47	0	S	
09:33	   33.00	       9	0	B	
09:33	   33.19	       7	0	B	
09:33	   33.27	      19	0	B	
09:33	   33.00	      25	0	S	
09:33	   33.19	      15	0	B	
09:33	   33.19	       7	0	S	
09:33	   33.19	      22	0	S	
09:33	   33.15	      13	0	S	
09:34	   33.27	      25	0	B	
09:34	   33.19	      13	0	B	
09:34	   33.19	      56	0	B	
09:34	   33.30	      69	0	B	
09:34	   33.20	       1	0	S	
09:34	   33.19	      88	0	S	
09:34	   33.30	      49	0	B	
09:34	   33.20	       2	0	S	
09:34	   33.20	      74	0	S	
09:35	   33.20	       2	0	B	
09:35	   33.20	      10	0	B	
09:35	   33.10	      24	0	S	
09:35	   33.10	       1	0	B	
09:35	   33.20	      94	0	B	
09:35	   33.16	      75	0	B	
09:35	   33.16	       7	0	B	
09:35	   33.10	      25	0	S	
09:35	   33.16	       1	0	B	
09:35	   33.10	       5	0	B	
09:36	   33.10	       9	0	B	
09:36	   33.01	      21	0	S	
09:36	   33.10	       9	0	B	
09:36	   33.00	      33	0	S	
09:36	   33.00	      11	0	S	
09:36	   33.00	      12	0	S	
09:36	   33.00	      34	0	B	
09:36	   32.90	      35	0	S	
09:36	   32.90	      35	0	B	
09:37	   32.90	      10	0	B	
09:37	   32.81	      50	0	S	
09:37	   32.80	     389	0	S	
09:37	   32.80	      10	0	B	
09:37	   33.00	       3	0	B	
09:37	   33.00	       1	0	B	
09:37	   33.00	      52	0	B	
09:37	   33.00	      20	0	S	
09:37	   33.00	      25	0	S	
09:38	   33.16	      55	0	B	
09:38	   33.16	       4	0	B	
09:38	   33.10	       2	0	S	
09:38	   33.10	       4	0	S	
09:38	   33.16	       4	0	S	
09:38	   33.20	      82	0	B	
09:38	   33.25	       8	0	B	
09:39	   33.26	       2	0	B	
09:39	   33.26	       8	0	B	
09:39	   33.28	      19	0	B	
09:39	   33.28	       2	0	B	
09:39	   33.28	       1	0	B	
09:39	   33.24	      20	0	S	
09:39	   33.30	       8	0	B	
09:39	   33.30	      12	0	B	
09:40	   33.30	       1	0	B	
09:40	   33.26	      39	0	S	
09:40	   33.28	      11	0	S	
09:40	   33.28	       5	0	B	
09:40	   33.28	      25	0	B	
09:40	   33.30	      30	0	B	
09:40	   33.26	      29	0	S	
09:40	   33.30	      36	0	B	
09:41	   33.25	      23	0	S	
09:41	   33.25	       5	0	B	
09:41	   33.30	     153	0	B	
09:41	   33.20	      17	0	S	
09:41	   33.28	       2	0	S	
09:42	   33.20	      10	0	S	
09:42	   33.20	       2	0	S	
09:42	   33.49	     150	0	B	
09:42	   33.29	      10	0	S	
09:42	   33.30	       3	0	B	
09:42	   33.35	       1	0	S	
09:42	   33.44	      14	0	B	
09:43	   33.44	      20	0	B	
09:43	   33.44	      33	0	B	
09:43	   33.48	      10	0	B	
09:43	   33.49	      20	0	B	
09:43	   33.49	      39	0	B	
09:43	   33.49	      10	0	B	
09:43	   33.49	      10	0	B	
09:43	   33.49	      44	0	B	
09:43	   33.49	      72	0	B	
09:43	   33.49	      30	0	B	
09:44	   33.49	      98	0	B	
09:44	   33.50	      21	0	B	
09:44	   33.50	       2	0	S	
09:44	   33.50	      66	0	S	
09:44	   33.50	      28	0	B	
09:44	   33.60	       6	0	B	
09:44	   33.60	       7	0	B	
09:44	   33.60	       1	0	S	
09:44	   33.68	       6	0	B	
09:44	   33.68	       2	0	B	
09:45	   33.85	       4	0	B	
09:45	   33.70	      25	0	S	
09:45	   33.88	      46	0	B	
09:45	   33.88	      15	0	S	
09:45	   33.89	      41	0	B	
09:45	   33.90	       1	0	S	
09:45	   33.98	      18	0	B	
09:45	   33.97	       4	0	B	
09:46	   33.99	      92	0	B	
09:46	   34.00	      14	0	B	
09:46	   34.00	     162	0	B	
09:46	   34.00	      11	0	S	
09:46	   34.23	       9	0	B	
09:46	   34.29	      21	0	B	
09:46	   34.29	      49	0	B	
09:46	   34.29	      28	0	B	
09:46	   34.25	      14	0	S	
09:47	   34.29	      55	0	B	
09:47	   34.29	      94	0	B	
09:47	   34.35	      48	0	B	
09:47	   34.38	       1	0	B	
09:47	   34.43	      10	0	B	
09:47	   34.43	       1	0	B	
09:47	   34.29	      75	0	S	
09:47	   34.48	      14	0	B	
09:47	   34.48	      28	0	B	
09:47	   34.48	      35	0	S	
09:48	   34.43	      57	0	S	
09:48	   34.43	      17	0	S	
09:48	   34.50	      31	0	B	
09:48	   34.51	      41	0	S	
09:48	   34.79	       4	0	B	
09:48	   34.60	       9	0	S	
09:48	   34.78	      21	0	B	
09:48	   34.80	      10	0	B	
09:48	   34.80	      10	0	B	
09:48	   34.60	      25	0	S	
09:48	   34.80	      11	0	B	
09:49	   34.70	      31	0	S	
09:49	   34.80	       6	0	S	
09:49	   34.84	      31	0	B	
09:49	   34.84	      12	0	S	
09:49	   34.85	      10	0	B	
09:49	   34.80	      31	0	S	
09:49	   34.80	       8	0	S	
09:49	   34.85	      31	0	B	
09:49	   34.85	       2	0	B	
09:49	   34.85	      15	0	B	
09:49	   34.80	      55	0	S	
09:50	   34.85	      72	0	B	
09:50	   34.85	      44	0	B	
09:50	   34.80	      96	0	S	
09:50	   34.80	      15	0	B	
09:50	   34.80	      10	0	B	
09:50	   34.85	      39	0	B	
09:50	   34.80	      20	0	S	
09:50	   34.84	       3	0	B	
09:50	   34.80	      85	0	S	
09:50	   34.80	      19	0	S	
09:50	   34.80	      18	0	S	
09:51	   34.80	      39	0	S	
09:51	   34.80	      53	0	S	
09:51	   34.80	      40	0	S	
09:51	   34.67	      39	0	S	
09:51	   34.80	      15	0	B	
09:51	   34.80	       2	0	B	
09:52	   34.68	     114	0	S	
09:52	   34.68	      24	0	S	
09:52	   34.68	      30	0	B	
09:52	   34.67	      60	0	S	
09:52	   34.70	      20	0	S	
09:52	   34.67	      35	0	S	
09:52	   34.67	      19	0	S	
09:52	   34.67	       5	0	S	
09:53	   34.67	     171	0	S	
09:53	   34.67	      22	0	S	
09:53	   34.70	      20	0	S	
09:53	   34.76	      56	0	B	
09:53	   34.76	       1	0	S	
09:53	   34.67	     200	0	S	
09:53	   34.67	      14	0	S	
09:53	   34.76	       7	0	B	
09:53	   34.67	       3	0	S	
09:54	   34.70	      11	0	B	
09:54	   34.78	      87	0	B	
09:54	   34.60	      62	0	S	
09:54	   34.77	      12	0	B	
09:54	   34.77	       2	0	S	
09:54	   34.78	       2	0	B	
09:54	   34.77	       3	0	S	
09:54	   34.77	       1	0	B	
09:54	   34.77	      10	0	B	
09:54	   34.75	      63	0	B	
09:55	   34.70	       5	0	S	
09:55	   34.70	       2	0	B	
09:55	   34.70	       1	0	B	
09:55	   34.70	       7	0	B	
09:55	   34.61	      18	0	S	
09:55	   34.60	      97	0	S	
09:55	   34.52	       1	0	S	
09:55	   34.60	       1	0	B	
09:55	   34.52	      10	0	S	
09:56	   34.52	     122	0	S	
09:56	   34.51	      31	0	S	
09:56	   34.60	      19	0	B	
09:56	   34.60	      40	0	S	
09:56	   34.60	      10	0	S	
09:56	   34.50	      19	0	S	
09:56	   34.60	       1	0	B	
09:56	   34.50	       8	0	S	
09:56	   34.50	      20	0	S	
09:56	   34.50	       2	0	S	
09:57	   34.50	      35	0	B	
09:57	   34.50	       4	0	B	
09:57	   34.50	       1	0	S	
09:57	   34.45	       4	0	S	
09:57	   34.45	       1	0	B	
09:57	   34.40	      14	0	S	
09:57	   34.40	       3	0	B	
09:57	   34.38	      23	0	S	
09:58	   34.29	      11	0	S	
09:58	   34.40	     105	0	B	
