                  20110425 伟星股份 (002003)
 时间	    价格	    成交	笔数	
09:30	   20.67	     229	0	S	
09:30	   20.57	      75	0	S	
09:30	   20.50	      50	0	S	
09:30	   20.50	      39	0	S	
09:31	   20.50	      34	0	S	
09:31	   20.50	      44	0	B	
09:31	   20.48	      23	0	S	
09:31	   20.46	      13	0	S	
09:31	   20.42	     104	0	S	
09:31	   20.42	      30	0	S	
09:31	   20.42	      14	0	B	
09:31	   20.41	      22	0	S	
09:31	   20.41	      20	0	B	
09:31	   20.41	      34	0	B	
09:32	   20.30	      89	0	S	
09:32	   20.30	       7	0	B	
09:32	   20.40	      52	0	B	
09:32	   20.30	      15	0	S	
09:32	   20.28	      12	0	S	
09:32	   20.28	       2	0	S	
09:32	   20.39	       3	0	B	
09:32	   20.30	      59	0	S	
09:32	   20.30	      84	0	S	
09:33	   20.35	      63	0	B	
09:33	   20.38	      56	0	B	
09:33	   20.28	      72	0	S	
09:33	   20.30	      10	0	B	
09:33	   20.30	      28	0	B	
09:33	   20.28	       8	0	S	
09:33	   20.28	      16	0	S	
09:33	   20.30	      55	0	B	
09:33	   20.28	      20	0	B	
09:33	   20.28	      21	0	B	
09:34	   20.28	      30	0	S	
09:34	   20.26	      68	0	S	
09:34	   20.26	      13	0	S	
09:34	   20.26	       7	0	S	
09:34	   20.27	       4	0	S	
09:34	   20.28	      87	0	B	
09:34	   20.25	      29	0	S	
09:34	   20.27	     103	0	B	
09:34	   20.25	      26	0	S	
09:34	   20.26	      14	0	S	
09:34	   20.27	      15	0	B	
09:35	   20.30	      52	0	B	
09:35	   20.27	      55	0	S	
09:35	   20.30	       5	0	B	
09:35	   20.30	      33	0	B	
09:35	   20.28	       6	0	S	
09:35	   20.30	      27	0	B	
09:35	   20.28	      17	0	S	
09:36	   20.28	      13	0	S	
09:36	   20.30	     162	0	B	
09:36	   20.29	      36	0	B	
09:36	   20.30	       9	0	B	
09:36	   20.30	      27	0	B	
09:36	   20.30	      85	0	B	
09:36	   20.30	      29	0	S	
09:36	   20.35	      84	0	B	
09:36	   20.32	      10	0	S	
09:36	   20.32	       6	0	S	
09:37	   20.35	      49	0	B	
