                  20230823 凯因科技 (688687)
 时间	    价格	    成交	笔数	
09:30	   19.94	       2	1	B	
09:30	   19.50	       6	3	S	
09:30	   19.93	       4	2	B	
09:30	   19.92	      12	2	B	
09:30	   19.91	      11	6	B	
09:30	   19.60	       2	1	S	
09:30	   19.63	       4	2	S	
09:30	   19.80	       2	1	B	
09:30	   19.77	      17	10	B	
09:30	   19.64	       6	3	S	
09:30	   19.60	      19	8	S	
09:30	   19.57	      36	23	S	
09:30	   19.58	      92	30	B	
09:30	   19.57	      28	18	S	
09:31	   19.56	      50	17	
09:31	   19.56	       7	2	B	
09:31	   19.66	      23	10	B	
09:31	   19.67	       9	7	B	
09:31	   19.65	       4	3	S	
09:31	   19.63	       3	2	S	
09:31	   19.59	      13	6	S	
09:31	   19.56	      15	7	S	
09:31	   19.56	       7	4	S	
09:31	   19.56	       2	1	S	
09:31	   19.55	      32	7	S	
09:31	   19.51	      81	25	S	
09:31	   19.53	       7	3	S	
09:31	   19.51	       8	4	S	
09:31	   19.53	      17	6	B	
09:31	   19.55	      12	6	B	
09:31	   19.56	       2	1	B	
09:32	   19.59	       4	2	B	
09:32	   19.62	      15	8	B	
09:32	   19.61	       2	1	S	
09:32	   19.59	       2	1	S	
09:32	   19.57	      20	12	S	
09:32	   19.56	       8	5	S	
09:32	   19.57	      36	9	B	
09:32	   19.57	      12	7	
09:32	   19.57	       3	2	B	
09:32	   19.59	       4	2	B	
09:32	   19.56	       3	1	S	
09:32	   19.54	       6	3	S	
09:32	   19.53	       7	3	S	
09:33	   19.50	      33	10	S	
09:33	   19.52	       8	3	B	
09:33	   19.52	       6	1	B	
09:33	   19.53	       2	1	B	
09:33	   19.53	       4	2	S	
09:33	   19.53	       2	3	B	
09:33	   19.54	       6	2	B	
09:33	   19.57	       8	3	B	
09:33	   19.56	       6	3	B	
09:33	   19.53	       2	1	S	
09:33	   19.53	       6	3	S	
09:33	   19.51	       2	1	S	
09:34	   19.50	       2	1	B	
09:34	   19.51	      10	5	B	
09:34	   19.52	       4	2	B	
09:34	   19.54	       4	2	B	
09:34	   19.54	       4	3	B	
09:34	   19.54	       6	4	B	
09:34	   19.54	       4	2	B	
09:34	   19.53	       4	2	S	
09:34	   19.52	      31	8	S	
09:34	   19.51	      24	8	S	
09:34	   19.51	      64	10	S	
09:34	   19.50	      35	11	S	
09:34	   19.49	       4	3	S	
09:34	   19.48	      10	5	S	
09:35	   19.52	      32	16	B	
09:35	   19.52	      10	6	B	
09:35	   19.52	       7	5	B	
09:35	   19.51	       5	2	S	
09:35	   19.51	       2	2	S	
09:35	   19.49	       6	2	B	
09:35	   19.48	      12	6	S	
09:35	   19.47	       2	1	S	
09:35	   19.47	      33	2	S	
09:35	   19.47	      15	2	S	
09:35	   19.43	      18	2	S	
09:35	   19.43	       5	1	S	
09:35	   19.41	      57	4	S	
09:36	   19.41	       8	5	S	
09:36	   19.41	      21	4	B	
09:36	   19.41	       7	3	S	
09:36	   19.41	      23	4	
09:36	   19.41	       2	2	B	
09:36	   19.40	       4	3	S	
09:36	   19.39	      18	7	S	
09:36	   19.40	      14	5	B	
09:36	   19.40	      16	13	B	
09:36	   19.37	       2	1	S	
09:36	   19.38	       4	2	B	
09:36	   19.39	       2	1	B	
09:36	   19.37	      23	9	S	
09:36	   19.40	      15	9	B	
09:36	   19.41	      34	19	B	
09:37	   19.42	       2	1	B	
09:37	   19.40	       2	1	S	
09:37	   19.40	       7	2	S	
09:37	   19.40	       6	3	B	
09:37	   19.40	      21	2	S	
09:38	   19.40	       2	2	B	
09:38	   19.39	       5	2	S	
09:38	   19.38	       8	2	S	
09:38	   19.38	      20	4	S	
09:38	   19.38	      10	4	B	
09:38	   19.38	       2	2	B	
09:38	   19.39	       8	6	B	
09:38	   19.39	       8	5	B	
09:38	   19.38	       2	1	B	
09:38	   19.38	       3	1	S	
09:38	   19.38	       3	2	S	
09:38	   19.37	       3	2	S	
09:38	   19.38	       4	4	B	
09:38	   19.38	       1	1	B	
09:38	   19.38	       1	1	S	
09:39	   19.38	       3	2	B	
09:39	   19.40	      58	37	B	
09:39	   19.41	      35	17	B	
09:39	   19.41	       2	1	S	
09:39	   19.41	       2	1	S	
09:39	   19.41	       2	2	S	
09:39	   19.41	      10	2	S	
09:39	   19.40	      21	3	S	
09:39	   19.40	       9	3	S	
09:39	   19.38	       2	1	S	
09:39	   19.38	       2	1	S	
09:40	   19.40	      65	15	B	
09:40	   19.36	       2	1	S	
09:40	   19.37	       3	1	S	
09:40	   19.37	       2	1	S	
09:40	   19.37	      23	3	S	
09:40	   19.37	       4	2	S	
09:40	   19.37	       4	2	S	
09:40	   19.37	       4	1	S	
09:40	   19.39	      41	17	B	
09:40	   19.38	      10	1	S	
09:41	   19.40	       5	3	B	
09:41	   19.40	       2	1	S	
09:41	   19.43	      16	8	B	
09:41	   19.42	       7	3	S	
09:41	   19.45	      22	12	B	
09:41	   19.45	      20	10	B	
09:42	   19.41	       6	3	S	
09:42	   19.41	       9	6	S	
09:42	   19.41	       1	1	S	
09:42	   19.40	       2	1	S	
09:42	   19.38	       5	1	S	
09:42	   19.38	       5	1	S	
09:42	   19.39	      25	6	B	
09:42	   19.36	      58	6	S	
09:42	   19.38	       5	3	B	
09:42	   19.36	       9	1	S	
09:42	   19.35	       4	2	S	
09:42	   19.34	       2	1	S	
09:43	   19.31	      17	7	S	
09:43	   19.32	      13	4	B	
09:43	   19.33	      14	7	
09:43	   19.33	       5	2	B	
09:43	   19.32	       2	1	S	
09:43	   19.32	       2	1	S	
09:43	   19.32	       4	2	S	
09:43	   19.32	       2	1	S	
09:43	   19.33	     290	18	B	
09:43	   19.33	      35	4	S	
09:43	   19.30	       2	1	S	
09:44	   19.28	       2	1	S	
09:44	   19.28	       3	2	B	
09:44	   19.26	       4	1	S	
09:44	   19.27	      19	7	B	
09:44	   19.27	      25	1	S	
09:44	   19.27	      12	6	S	
09:44	   19.27	      21	8	S	
09:45	   19.27	      28	9	S	
09:45	   19.26	       0	1	S	
09:45	   19.26	       4	2	B	
09:45	   19.26	       2	1	S	
09:45	   19.26	       0	1	S	
09:45	   19.25	      15	7	S	
09:45	   19.25	       4	2	S	
09:45	   19.25	       4	2	S	
09:45	   19.22	      35	6	S	
09:45	   19.24	       6	3	B	
09:45	   19.24	       2	1	S	
09:46	   19.25	      22	5	B	
09:46	   19.26	      11	3	B	
09:46	   19.26	       4	2	B	
09:46	   19.26	       2	2	S	
09:46	   19.27	      11	5	B	
09:47	   19.28	      11	5	B	
09:47	   19.28	       2	1	B	
09:47	   19.27	       6	3	S	
09:47	   19.27	      27	2	S	
09:47	   19.27	      64	2	S	
09:47	   19.27	       1	1	S	
09:47	   19.26	      16	5	S	
09:47	   19.25	       7	1	S	
09:47	   19.25	       4	2	S	
09:47	   19.25	       4	2	S	
09:47	   19.25	       7	3	S	
09:47	   19.25	       2	1	S	
