                  20211215 凯因科技 (688687)
 时间	    价格	    成交	笔数	
09:30	   23.51	      12	2	S	
09:30	   23.51	      10	2	B	
09:30	   23.51	       2	1	B	
09:31	   23.50	       2	1	S	
09:31	   23.51	       2	1	B	
09:31	   23.51	       0	2	B	
09:31	   23.51	       4	2	S	
09:32	   23.45	       2	1	S	
09:32	   23.46	       6	2	S	
09:32	   23.46	      18	2	S	
09:33	   23.46	       6	1	B	
09:33	   23.46	       6	1	B	
09:34	   23.46	      10	1	S	
09:35	   23.46	      80	1	S	
09:35	   23.46	      20	5	S	
09:36	   23.46	       2	1	S	
09:37	   23.46	      22	4	S	
09:37	   23.47	       4	1	B	
09:37	   23.46	       1	1	S	
09:37	   23.45	      24	4	S	
09:37	   23.43	       4	2	S	
09:37	   23.45	       3	1	B	
09:38	   23.47	       3	1	B	
09:38	   23.46	       2	1	B	
09:38	   23.46	       5	2	S	
09:39	   23.45	      20	1	S	
09:39	   23.45	       2	1	S	
09:39	   23.45	      21	1	S	
09:39	   23.45	       2	1	S	
09:39	   23.45	       4	2	S	
09:40	   23.45	       2	1	B	
09:40	   23.41	      10	3	S	
09:40	   23.46	       6	2	B	
09:41	   23.46	      10	1	B	
09:41	   23.46	       5	1	B	
09:41	   23.45	       6	1	S	
09:41	   23.45	      13	2	B	
09:41	   23.45	       1	1	B	
09:42	   23.46	       4	2	S	
09:42	   23.46	       5	1	B	
09:43	   23.46	       7	3	B	
09:43	   23.46	      54	3	B	
09:43	   23.51	      12	5	B	
09:44	   23.57	       2	1	B	
09:45	   23.45	       2	1	S	
09:45	   23.45	       2	1	S	
09:47	   23.50	       5	3	B	
09:47	   23.49	      10	1	S	
09:48	   23.49	       2	1	S	
09:48	   23.47	       2	1	S	
09:49	   23.48	       4	2	B	
09:49	   23.49	       6	2	B	
09:49	   23.48	       1	1	S	
09:50	   23.46	       2	1	S	
09:50	   23.48	      11	2	B	
09:51	   23.46	       4	2	S	
09:54	   23.46	      15	2	S	
09:56	   23.49	       2	1	B	
09:57	   23.48	       2	1	S	
09:57	   23.46	      20	4	S	
09:57	   23.46	       1	1	S	
09:58	   23.46	       1	1	B	
09:59	   23.50	       3	2	B	
09:59	   23.50	       2	1	B	
09:59	   23.50	      14	1	B	
10:00	   23.51	       5	1	B	
10:00	   23.53	      20	1	B	
10:00	   23.59	       4	2	B	
10:00	   23.62	       2	2	B	
10:01	   23.62	       9	2	B	
10:01	   23.62	       5	3	S	
10:01	   23.60	       4	2	S	
10:01	   23.60	       2	1	S	
10:01	   23.60	       8	1	S	
10:01	   23.60	       2	1	S	
10:01	   23.60	       6	3	S	
10:01	   23.60	      26	5	S	
10:02	   23.51	      15	2	S	
10:03	   23.51	      15	2	S	
10:04	   23.59	       3	1	B	
10:04	   23.59	      66	13	S	
10:04	   23.59	       5	2	S	
10:04	   23.60	       2	2	B	
10:06	   23.53	       2	1	S	
10:07	   23.56	       8	2	B	
10:08	   23.56	      31	2	S	
10:08	   23.56	       8	2	S	
10:08	   23.56	       5	2	S	
10:09	   23.56	      10	1	S	
10:09	   23.56	      10	1	S	
10:09	   23.56	       2	2	S	
10:10	   23.56	       1	1	S	
10:11	   23.55	       2	1	B	
10:11	   23.55	      68	14	B	
10:12	   23.54	      18	5	B	
10:16	   23.51	      10	2	S	
10:16	   23.51	       3	2	S	
10:16	   23.51	      13	4	S	
10:16	   23.51	       4	2	B	
10:17	   23.51	       2	1	B	
10:17	   23.50	     165	5	S	
10:19	   23.49	      10	1	B	
10:19	   23.49	       4	1	B	
10:19	   23.49	       5	1	B	
10:19	   23.49	       5	2	B	
10:20	   23.49	       2	2	B	
10:20	   23.49	       1	1	B	
10:22	   23.49	       2	1	S	
10:23	   23.53	      19	10	B	
10:23	   23.54	       1	1	B	
10:23	   23.53	      37	2	S	
10:28	   23.50	       4	2	S	
10:29	   23.50	       2	1	B	
10:31	   23.50	       2	1	B	
10:32	   23.50	       2	1	B	
10:32	   23.50	       2	1	B	
10:32	   23.50	       3	3	S	
10:33	   23.50	       4	1	S	
10:33	   23.50	       1	1	B	
10:34	   23.53	      30	7	B	
10:35	   23.50	      27	2	S	
10:36	   23.50	      20	1	B	
10:38	   23.50	       2	1	B	
10:39	   23.50	       3	2	B	
10:39	   23.49	      15	5	S	
10:39	   23.49	       5	1	B	
10:39	   23.50	       2	1	B	
10:40	   23.50	       1	1	B	
10:40	   23.50	       6	2	S	
10:41	   23.50	       3	1	B	
10:41	   23.50	       1	1	B	
10:44	   23.50	       5	1	S	
10:46	   23.50	       4	2	S	
10:46	   23.45	     250	9	S	
10:47	   23.45	      88	5	S	
10:47	   23.43	       2	1	S	
10:47	   23.45	       0	1	S	
10:48	   23.47	       5	1	B	
10:49	   23.45	      37	1	S	
10:50	   23.45	       0	1	S	
10:51	   23.47	       2	2	B	
10:52	   23.49	       7	4	B	
10:53	   23.49	       3	1	B	
10:53	   23.49	       7	2	B	
10:53	   23.49	       9	4	B	
10:54	   23.49	       4	2	B	
10:54	   23.50	      61	3	B	
10:54	   23.50	      33	4	B	
10:55	   23.50	      82	1	S	
10:57	   23.50	       0	1	S	
10:58	   23.48	       7	3	S	
10:59	   23.48	      29	2	B	
11:00	   23.48	      23	2	S	
11:02	   23.45	      30	6	S	
11:03	   23.45	       1	1	S	
11:03	   23.45	       1	1	B	
11:06	   23.47	       2	1	S	
11:07	   23.47	       6	1	B	
11:08	   23.46	       4	1	S	
11:08	   23.46	       4	2	B	
11:08	   23.45	      18	4	S	
11:09	   23.44	      18	2	S	
11:09	   23.43	       4	1	S	
11:09	   23.44	       4	2	B	
11:09	   23.43	      30	6	S	
11:09	   23.43	       6	1	B	
11:10	   23.43	       4	1	S	
11:10	   23.43	       1	1	B	
11:13	   23.45	      15	2	S	
11:13	   23.44	       2	1	S	
11:14	   23.44	       8	1	S	
11:16	   23.43	      18	4	S	
11:18	   23.43	       2	1	B	
11:18	   23.42	      22	4	S	
11:18	   23.41	      29	9	S	
11:18	   23.41	      35	12	S	
11:18	   23.41	       4	2	S	
11:18	   23.40	       9	2	S	
11:19	   23.39	      15	4	S	
11:19	   23.39	       2	1	S	
11:19	   23.39	       1	1	S	
11:19	   23.34	      43	8	S	
11:19	   23.36	       2	1	B	
11:21	   23.35	       2	1	B	
11:21	   23.36	       2	2	B	
11:21	   23.36	       2	2	B	
11:21	   23.36	       3	2	B	
11:22	   23.36	       7	1	S	
11:23	   23.38	      17	2	B	
11:23	   23.38	       1	1	S	
11:23	   23.39	      15	3	B	
11:24	   23.40	       1	1	B	
11:25	   23.41	       1	1	B	
11:25	   23.44	      10	3	B	
11:27	   23.43	       5	2	B	
11:28	   23.45	      40	7	B	
11:29	   23.41	       4	2	S	
