                  20240524 凯因科技 (688687)
 时间	    价格	    成交	笔数	
09:30	   28.69	      16	1	S	
09:30	   28.69	       5	3	S	
09:30	   28.86	      48	8	B	
09:30	   28.90	      36	9	B	
09:30	   28.86	      15	4	S	
09:30	   28.86	      95	5	S	
09:30	   28.86	       8	3	S	
09:30	   28.86	      21	6	B	
09:30	   28.86	       2	1	S	
09:30	   28.86	      13	1	S	
09:30	   28.87	      28	5	S	
09:31	   28.87	       3	2	B	
09:31	   28.86	       4	2	S	
09:31	   28.85	     123	7	S	
09:31	   28.87	       3	2	B	
09:31	   28.85	       2	1	B	
09:31	   28.78	     164	3	S	
09:31	   28.78	      36	3	S	
09:31	   28.73	      24	5	S	
09:31	   28.73	       2	1	S	
09:31	   28.73	       2	1	S	
09:32	   28.70	     234	12	S	
09:32	   28.69	       7	4	S	
09:32	   28.68	       2	1	S	
09:32	   28.69	       2	1	B	
09:32	   28.70	       7	2	B	
09:32	   28.72	       2	1	B	
09:32	   28.69	      16	5	S	
09:32	   28.69	       4	2	S	
09:32	   28.70	       2	1	B	
09:32	   28.69	       3	1	S	
09:32	   28.69	       2	2	S	
09:33	   28.70	      24	3	B	
09:33	   28.69	      14	3	S	
09:33	   28.68	      22	5	S	
09:33	   28.70	      67	7	B	
09:33	   28.71	       4	3	B	
09:33	   28.75	      14	1	B	
09:33	   28.80	       2	1	B	
09:33	   28.80	       2	3	B	
09:34	   28.82	      22	2	B	
09:34	   28.86	      19	4	B	
09:34	   28.86	       1	1	B	
09:34	   28.86	       5	2	B	
09:34	   28.82	      14	1	S	
09:34	   28.81	      31	3	S	
09:34	   28.81	       6	2	B	
09:34	   28.82	       1	1	B	
09:35	   28.86	      20	5	B	
09:35	   28.90	       4	3	B	
09:35	   28.90	      11	1	B	
09:35	   28.86	      24	3	S	
09:35	   28.90	      27	5	B	
09:35	   28.90	       1	1	B	
09:35	   28.91	      20	1	B	
09:36	   28.91	       4	1	S	
09:36	   28.95	       2	1	B	
09:36	   28.94	      29	5	
09:37	   28.93	      20	3	S	
09:37	   28.93	       6	1	B	
09:37	   28.94	      46	6	B	
09:37	   28.91	       7	4	S	
09:38	   28.96	       3	1	B	
09:38	   28.96	       3	1	B	
09:38	   28.96	      71	8	B	
09:38	   28.96	      10	2	B	
09:38	   28.97	       8	1	B	
09:38	   28.97	      34	3	B	
09:38	   29.00	       3	2	B	
09:38	   29.00	      20	2	B	
09:38	   29.01	       2	1	S	
09:39	   29.02	      10	1	S	
09:39	   29.04	      10	2	S	
09:39	   29.06	      14	4	B	
09:39	   29.06	       4	1	B	
09:39	   29.06	       2	2	B	
09:39	   29.05	      20	3	S	
09:40	   29.07	      12	2	B	
09:40	   29.10	       7	3	B	
09:40	   29.06	      12	6	S	
09:40	   29.05	      27	6	S	
09:40	   29.04	       4	2	S	
09:40	   29.04	      10	1	B	
09:41	   29.02	      24	3	S	
09:41	   29.02	       6	2	S	
09:42	   29.02	      12	5	S	
09:42	   29.02	       6	2	B	
