                  20240924 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:30	    7.83	       3	0	S	
09:30	    7.86	      18	0	B	
09:30	    7.83	       4	0	S	
09:30	    7.83	       1	0	S	
09:30	    7.86	      32	0	B	
09:30	    7.86	      31	0	B	
09:30	    7.86	      28	0	B	
09:30	    7.86	      17	0	S	
09:30	    7.86	      33	0	S	
09:30	    7.87	      23	0	B	
09:30	    7.87	       1	0	S	
09:30	    7.87	       8	0	S	
09:30	    7.85	       2	0	B	
09:30	    7.85	       1	0	S	
09:31	    7.85	      10	0	S	
09:31	    7.85	       3	0	S	
09:31	    7.85	       1	0	S	
09:31	    7.85	      41	0	S	
09:32	    7.85	       2	0	S	
09:33	    7.85	      43	0	S	
09:35	    7.92	       2	0	B	
09:35	    7.85	       4	0	S	
09:38	    7.86	      19	0	S	
09:39	    7.87	       1	0	S	
09:40	    7.91	      20	0	B	
09:45	    7.87	      73	0	S	
09:45	    7.86	       3	0	S	
09:47	    7.87	       1	0	B	
09:47	    7.87	      41	0	B	
09:47	    7.88	       5	0	S	
09:52	    7.87	       9	0	S	
09:52	    7.86	      12	0	S	
10:00	    7.86	      76	0	S	
10:00	    7.86	       2	0	S	
10:02	    7.85	       1	0	S	
10:02	    7.85	      81	0	S	
10:04	    7.85	      10	0	S	
10:15	    7.83	       6	0	S	
10:24	    7.87	       1	0	B	
10:25	    7.84	      50	0	S	
10:31	    7.87	       1	0	B	
10:38	    7.86	       5	0	B	
10:38	    7.86	       1	0	S	
10:38	    7.85	       1	0	S	
10:38	    7.86	       2	0	B	
10:38	    7.85	       1	0	S	
10:38	    7.87	      50	0	B	
10:39	    7.86	      10	0	B	
10:39	    7.87	       5	0	B	
10:40	    7.86	      20	0	S	
10:43	    7.85	      16	0	S	
10:45	    7.86	       4	0	B	
10:45	    7.87	      16	0	B	
10:49	    7.89	      11	0	B	
10:49	    7.89	      35	0	B	
10:51	    7.89	       1	0	B	
10:51	    7.90	     100	0	B	
10:51	    7.89	       9	0	S	
10:52	    7.89	      12	0	B	
10:54	    7.89	       1	0	B	
10:56	    7.89	       4	0	B	
10:57	    7.90	      20	0	B	
10:57	    7.90	      30	0	B	
10:57	    7.90	      17	0	B	
11:01	    7.90	       2	0	B	
11:02	    7.91	       5	0	B	
11:03	    7.91	      15	0	B	
11:04	    7.91	      10	0	B	
11:10	    7.91	      46	0	B	
11:11	    7.92	     190	0	B	
11:12	    7.94	      63	0	B	
11:17	    7.92	      25	0	S	
11:19	    7.91	       5	0	B	
11:19	    7.92	      12	0	B	
11:20	    7.92	       7	0	B	
11:20	    7.93	      41	0	B	
11:20	    7.94	     121	0	B	
11:21	    7.94	     100	0	B	
11:21	    7.94	      75	0	B	
11:22	    7.95	      10	0	B	
11:22	    7.95	       7	0	S	
11:24	    7.95	       3	0	S	
11:25	    7.99	     200	0	B	
11:25	    7.99	      17	0	B	
11:26	    7.99	      10	0	S	
11:26	    8.03	     200	0	B	
11:26	    8.03	     156	0	B	
11:26	    8.03	      11	0	S	
11:27	    8.03	      33	0	S	
11:29	    8.02	       2	0	B	
13:00	    8.02	      16	0	B	
13:01	    8.02	      51	0	B	
13:02	    8.02	       7	0	S	
13:04	    8.00	       5	0	S	
13:04	    8.04	     178	0	B	
13:05	    8.04	      30	0	B	
13:05	    8.05	      31	0	B	
13:06	    8.07	      20	0	B	
13:06	    8.05	      10	0	S	
13:07	    8.07	       3	0	B	
13:07	    8.05	      15	0	S	
13:07	    8.04	      21	0	S	
13:08	    8.00	      60	0	S	
13:09	    8.02	       5	0	B	
13:10	    8.03	       5	0	B	
13:10	    8.03	      10	0	B	
13:10	    8.03	       5	0	B	
13:10	    8.03	      25	0	B	
13:11	    8.03	       3	0	B	
13:11	    8.03	       2	0	B	
13:11	    8.03	       8	0	B	
13:12	    8.05	      46	0	B	
13:12	    8.07	      30	0	B	
13:12	    8.07	       5	0	B	
13:13	    8.06	       9	0	
13:13	    8.05	      97	0	S	
13:15	    8.03	      50	0	S	
13:17	    8.03	       2	0	S	
13:17	    8.03	      16	0	S	
13:19	    8.03	      22	0	S	
13:19	    8.02	       2	0	S	
13:20	    8.02	       6	0	S	
13:20	    8.02	       6	0	S	
13:20	    8.02	     100	0	S	
13:20	    8.02	      21	0	S	
13:20	    8.02	      25	0	S	
13:20	    8.02	       9	0	S	
13:20	    8.00	       3	0	S	
13:22	    8.03	      32	0	B	
13:23	    8.03	      61	0	S	
13:24	    8.00	      99	0	S	
13:24	    8.00	       9	0	S	
13:26	    8.00	       1	0	B	
13:27	    8.00	       6	0	B	
13:28	    8.04	       7	0	B	
13:28	    8.04	       3	0	S	
13:29	    8.05	     127	0	B	
13:29	    8.04	      23	0	B	
13:29	    8.04	       4	0	S	
13:29	    8.04	       3	0	S	
13:29	    8.04	       2	0	S	
