                  20230302 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:35	   11.71	       3	0	B	
09:38	   11.70	       3	0	S	
09:39	   11.70	      20	0	B	
09:40	   11.70	      33	0	S	
09:42	   11.62	      72	0	S	
09:43	   11.70	       2	0	B	
09:43	   11.61	       4	0	S	
09:44	   11.61	       3	0	S	
09:45	   11.70	       1	0	B	
09:46	   11.61	      71	0	S	
09:49	   11.62	       8	0	S	
09:52	   11.62	      10	0	S	
09:52	   11.62	       0	0	S	
09:55	   11.62	       2	0	S	
09:57	   11.62	      10	0	S	
09:58	   11.62	       3	0	S	
09:59	   11.61	      33	0	S	
10:00	   11.62	       0	0	S	
10:03	   11.70	       1	0	B	
10:24	   11.64	      28	0	S	
10:26	   11.63	       7	0	S	
10:28	   11.62	      27	0	S	
10:29	   11.61	     129	0	S	
10:34	   11.61	       5	0	S	
10:35	   11.60	      56	0	S	
10:38	   11.58	      15	0	S	
10:38	   11.56	      27	0	S	
10:42	   11.57	      23	0	S	
10:42	   11.57	       0	0	S	
10:43	   11.56	      31	0	S	
10:44	   11.59	      22	0	S	
10:44	   11.59	       0	0	S	
10:45	   11.56	      10	0	S	
10:47	   11.56	      63	0	S	
10:47	   11.56	       5	0	S	
10:49	   11.56	      14	0	B	
10:50	   11.56	       4	0	B	
10:50	   11.56	       4	0	B	
10:56	   11.56	      25	0	S	
10:56	   11.56	       0	0	S	
10:58	   11.55	      47	0	S	
11:06	   11.55	      17	0	S	
11:20	   11.56	      25	0	S	
11:23	   11.60	      12	0	B	
11:24	   11.55	       5	0	S	
11:24	   11.56	      22	0	S	
11:26	   11.56	      22	0	S	
11:29	   11.56	      22	0	S	
13:00	   11.55	      81	0	S	
13:01	   11.56	      14	0	S	
13:05	   11.56	       4	0	B	
13:06	   11.56	       1	0	B	
13:08	   11.56	       4	0	S	
13:09	   11.55	       6	0	S	
13:11	   11.55	      10	0	B	
13:17	   11.54	      22	0	S	
13:17	   11.50	     257	0	S	
13:19	   11.51	       6	0	S	
13:19	   11.51	       4	0	S	
13:24	   11.54	       1	0	B	
13:25	   11.54	       4	0	B	
13:27	   11.54	       1	0	B	
13:32	   11.55	       4	0	B	
13:34	   11.55	       4	0	B	
13:34	   11.55	       0	0	B	
13:36	   11.51	      44	0	S	
13:37	   11.51	       2	0	B	
13:38	   11.50	      61	0	S	
13:40	   11.50	     273	0	B	
13:41	   11.49	       9	0	S	
13:41	   11.50	       1	0	B	
13:41	   11.49	      20	0	S	
13:43	   11.50	      20	0	B	
13:45	   11.49	      10	0	S	
13:45	   11.49	       6	0	S	
13:46	   11.48	      18	0	S	
13:49	   11.49	       1	0	B	
13:49	   11.49	       9	0	S	
13:50	   11.47	      20	0	S	
13:50	   11.49	       2	0	B	
13:50	   11.47	       3	0	S	
13:51	   11.46	      19	0	S	
13:52	   11.45	       5	0	S	
13:53	   11.45	       6	0	S	
13:55	   11.46	       1	0	B	
13:58	   11.46	      26	0	S	
14:04	   11.46	      28	0	S	
14:07	   11.49	      15	0	B	
14:10	   11.45	     100	0	S	
14:15	   11.46	       6	0	S	
14:21	   11.56	       1	0	B	
14:25	   11.56	       5	0	B	
14:30	   11.56	      11	0	B	
14:32	   11.56	       5	0	S	
14:33	   11.49	      23	0	S	
14:37	   11.49	       2	0	S	
14:44	   11.50	      23	0	S	
14:44	   11.50	      10	0	B	
14:44	   11.49	       2	0	S	
14:48	   11.49	       0	0	S	
14:51	   11.49	       7	0	S	
14:52	   11.50	       6	0	B	
14:52	   11.50	      10	0	B	
14:53	   11.50	      11	0	B	
14:54	   11.50	      32	0	B	
14:56	   11.55	       2	0	B	
15:00	   11.49	      38	0	
#数据来源:通达信
